date,count1,Priority
2018-10-02,0.0,5
2018-10-07,0.0,8
2018-10-12,0.0,12
2018-10-17,0.0,9
2018-10-22,0.0,11
2018-10-27,0.0,22
2018-11-01,0.0,8
2018-11-06,0.0,19
2018-11-11,0.0,17
2018-11-16,0.0,40
2018-11-21,0.0,21
2018-11-26,0.0,36
2018-12-01,0.0,31
2018-12-06,0.0,22
2018-12-11,0.0,26
2018-12-16,0.0,13
2018-12-21,0.0,5
2018-12-26,0.0,12
2018-12-31,0.0,12
2019-01-05,0.0,21
2019-01-10,0.0,5
2019-01-15,0.0,13
2019-01-20,0.0,12
2019-01-25,0.0,10
2019-01-30,0.0,2
2019-02-04,0.0,0
2019-02-09,0.0,1
2019-02-14,0.0,1
2019-02-19,0.0,1
2019-02-24,0.0,0
2019-03-01,0.0,0
2019-03-06,0.0,2
2019-03-11,0.0,3
2019-03-16,0.0,0
2019-03-21,0.0,1
2019-03-26,0.0,0
2019-03-31,0.0,1
2019-04-05,0.0,0
2019-04-10,0.0,1
2019-04-15,0.0,5
2019-04-20,0.0,0
2019-04-25,0.0,1
2019-04-30,0.0,1
2019-05-05,0.0,4
2019-05-10,0.0,1
2019-05-15,0.0,0
2019-05-20,0.0,5
2019-05-25,0.0,0
2019-05-30,0.0,0
2019-06-04,0.0,2
2019-06-09,0.0,0
2019-06-14,0.0,0
2019-06-19,0.0,0
2019-06-24,0.0,0
2019-06-29,0.0,1
2019-07-04,0.0,0
2019-07-09,0.0,0
2019-07-14,0.0,1
2019-07-19,0.0,1
2019-07-24,0.0,1
2019-07-29,0.0,0
2019-08-03,0.0,0
2019-08-08,0.0,0
2019-08-13,0.0,3
2019-08-18,0.0,5
2019-08-23,0.0,7
2019-08-28,0.0,5
2019-09-02,0.0,3
2019-09-07,0.0,3
2019-09-12,0.0,0
2019-09-17,0.0,5
2019-09-22,0.0,3
2019-09-27,0.0,4
2019-10-02,0.0,6
2019-10-07,0.0,8
2019-10-12,2.0,2
2019-10-17,0.0,12
2019-10-22,0.0,8
2019-10-27,0.0,10
2019-11-01,0.0,5
2019-11-06,0.0,6
2019-11-11,0.0,3
2019-11-16,0.0,4
2019-11-21,0.0,3
2019-11-26,0.0,10
2019-12-01,0.0,1
2019-12-06,0.0,3
2019-12-11,0.0,1
2019-12-16,0.0,4
2019-12-21,0.0,1
2019-12-26,0.0,2
2019-12-31,0.0,3
2020-01-05,0.0,2
2020-01-10,0.0,5
2020-01-15,0.0,0
2020-01-20,5.0,3
2020-01-25,0.0,3
2020-01-30,0.0,0
2020-02-04,0.0,1
2020-02-09,0.0,3
2020-02-14,0.0,2
2020-02-19,0.0,1
2020-02-24,2.0,3
2020-02-29,0.0,2
2020-03-05,0.0,1
2020-03-10,8.0,2
2020-03-15,0.0,1
2020-03-20,0.0,0
2020-03-25,0.0,0
2020-03-30,0.0,1
2020-04-04,0.0,8
2020-04-09,0.0,1
2020-04-14,0.0,1
2020-04-19,0.0,1
2020-04-24,0.0,1
2020-04-29,0.0,0
2020-05-04,0.0,2
2020-05-09,0.0,0
2020-05-14,0.0,0
2020-05-19,0.0,0
2020-05-24,0.0,1
2020-05-29,4.0,2
2020-06-03,4.0,3
2020-06-08,0.0,0
2020-06-13,0.0,1
2020-06-18,0.0,1
2020-06-23,0.0,0
2020-06-28,0.0,0
2020-07-03,0.0,0
2020-07-08,0.0,1
2020-07-13,0.0,2
2020-07-18,0.0,0
2020-07-23,0.0,0
2020-07-28,0.0,0
2020-08-02,0.0,0
2020-08-07,0.0,2
2020-08-12,0.0,1
2020-08-17,2.0,4
2020-08-22,0.0,0
2020-08-27,4.0,4
2020-09-01,8.0,1
2020-09-06,0.0,1
2020-09-11,0.0,0
2020-09-16,0.0,1
2020-09-21,0.0,1
2020-09-26,0.0,0
2020-10-01,0.0,0
2020-10-06,0.0,2
2020-10-11,0.0,4
2020-10-16,0.0,4
2020-10-21,0.0,6
2020-10-26,0.0,0
2020-10-31,0.0,5
2020-11-05,0.0,6
2020-11-10,0.0,4
2020-11-15,0.0,8
2020-11-20,0.0,2
2020-11-25,0.0,4
2020-11-30,0.0,8
2020-12-05,0.0,2
2020-12-10,0.0,7
2020-12-15,0.0,4
2020-12-20,0.0,0
2020-12-25,0.0,1
2020-12-30,0.0,2
2021-01-04,0.0,2
2021-01-09,0.0,3
2021-01-14,0.0,2
2021-01-19,0.0,0
2021-01-24,0.0,0
2021-01-29,0.0,6
2021-02-03,0.0,0
2021-02-08,9.0,9
2021-02-13,0.0,3
2021-02-18,0.0,4
2021-02-23,0.0,1
2021-02-28,9.0,6
2021-03-05,0.0,0
2021-03-10,0.0,1
2021-03-15,0.0,3
2021-03-20,0.0,5
2021-03-25,0.0,5
2021-03-30,0.0,3
2021-04-04,0.0,4
2021-04-09,0.0,8
2021-04-14,0.0,5
2021-04-19,0.0,1
2021-04-24,0.0,0
2021-04-29,0.0,3
2021-05-04,1.0,3
2021-05-09,0.0,5
2021-05-14,0.0,2
2021-05-19,0.0,1
2021-05-24,4.0,2
2021-05-29,0.0,4
2021-06-03,0.0,2
2021-06-08,0.0,2
2021-06-13,0.0,8
2021-06-18,12.0,8
2021-06-23,0.0,3
2021-06-28,0.0,3
2021-07-03,0.0,1
2021-07-08,0.0,2
2021-07-13,8.0,8
2021-07-18,0.0,1
2021-07-23,0.0,4
2021-07-28,0.0,1
2021-08-02,0.0,2
2021-08-07,0.0,7
2021-08-12,0.0,5
2021-08-17,6.0,5
2021-08-22,0.0,4
2021-08-27,0.0,6
2021-09-01,0.0,3
2021-09-06,0.0,1
2021-09-11,4.0,3
2021-09-16,0.0,1
2021-09-21,0.0,9
2021-09-26,4.0,3
2021-10-01,6.0,2
2021-10-06,0.0,1
2021-10-11,0.0,3
2021-10-16,0.0,2
2021-10-21,0.0,1
2021-10-26,10.0,5
